Number,Title,URL,Date
1,Kennesaw State nationally recognized for online and hybrid course quality,https://www.kennesaw.edu/news/stories/2024/ksu-recognized-for-online-and-hybrid-course-quality.php,"March 25, 2024"
2,Kennesaw State's Garrard Conley candid about his best-selling memoir and upcoming novel,https://www.kennesaw.edu/news/stories/2024/garrard-conley-candid-about-memoir-and-upcoming-novel.php,"March 22, 2024"
3,Freshman Kennesaw State student has unprecedented success in research ,https://www.kennesaw.edu/news/stories/2024/freshman-student-has-unprecendented-success-in-research.php,"March 15, 2024"
4,Graduate student finds her calling in women's health at Kennesaw State,https://www.kennesaw.edu/news/stories/2024/student-finds-calling-in-women-health-at-ksu.php,"February 22, 2024"
5,"Academic leader, researcher named dean of Kennesaw State's College of Science and Mathematics",https://www.kennesaw.edu/news/stories/2024/researcher-named-dean-of-ksu-college-of-science-and-mathematics.php,"February 16, 2024"
6,Kennesaw State alumna returns to campus as nursing faculty member,https://www.kennesaw.edu/news/stories/2024/ksu-alum-returns-as-nursing-faculty-member.php,"February 14, 2024"
7,Kennesaw State University to offer Master of Science in Artificial Intelligence,https://www.kennesaw.edu/news/stories/2024/kennesaw-state-offers-master-of-science-artificial-intelligence.php,"February 13, 2024"
8,Kennesaw State Academic Learning Center named for longtime family benefactors,https://www.kennesaw.edu/news/stories/2024/academic-learning-center-named-for-benefactors.php,"February 08, 2024"
9,Kennesaw State's online degree programs nationally ranked by U.S. News,https://www.kennesaw.edu/news/stories/2024/ksu-online-degree-programs-nationally-ranked-by-us-news.php,"February 07, 2024"
10,Kennesaw State breaks ground for interdisciplinary STEM building,https://www.kennesaw.edu/news/stories/2024/ksu-breaks-ground-interdisciplinary-stem-building.php,"February 02, 2024"
